logging to /Users/nadavminkowitz/neuron/neuron/results/activity2.tsv
one sample every 15s
recorded: app name, dwell, idle, notification COUNT, battery, audio, wifi
NOT recorded: window titles, URLs, keystrokes, clipboard, file names,
              screen contents, notification text

stop with Ctrl+C. Leave it running for a month.

  40 samples, 08:09, Safari, idle 0s, notif 0
  80 samples, 08:19, Safari, idle 0s, notif 0
  120 samples, 08:29, Safari, idle 3s, notif 0
  160 samples, 08:39, Safari, idle 0s, notif 0
  200 samples, 08:49, Safari, idle 10s, notif 0
  240 samples, 09:48, Safari, idle 1s, notif 0
  280 samples, 09:58, Safari, idle 0s, notif 0
  320 samples, 10:08, Safari, idle 0s, notif 0
  360 samples, 10:18, Safari, idle 35s, notif 0
  400 samples, 10:31, Microsoft OneNote, idle 51s, notif 0
  440 samples, 10:41, Microsoft OneNote, idle 30s, notif 0
  480 samples, 10:51, Microsoft OneNote, idle 62s, notif 0
  520 samples, 11:01, Microsoft OneNote, idle 63s, notif 0
  560 samples, 11:11, Microsoft OneNote, idle 90s, notif 0
  600 samples, 11:44, Google Chrome, idle 44s, notif 0
  640 samples, 13:06, Code, idle 0s, notif 0
  680 samples, 13:16, Google Chrome, idle 0s, notif 0
  720 samples, 13:26, Code, idle 65s, notif 0
  760 samples, 13:36, Code, idle 53s, notif 0
  800 samples, 14:35, Safari, idle 33s, notif 0
  840 samples, 17:47, Safari, idle 633s, notif 0
  880 samples, 22:10, Safari, idle 1233s, notif 0
  920 samples, 00:39, Safari, idle 1834s, notif 0
  960 samples, 05:19, Safari, idle 2420s, notif 0
  1000 samples, 08:21, Safari, idle 3012s, notif 0
  1040 samples, 09:04, Safari, idle 6s, notif 0
  1080 samples, 09:14, Safari, idle 21s, notif 0
  1120 samples, 09:24, Code, idle 0s, notif 0
  1160 samples, 09:34, Preview, idle 1s, notif 0
  1200 samples, 09:44, Safari, idle 0s, notif 0
  1240 samples, 09:54, Safari, idle 26s, notif 0
  1280 samples, 10:22, Safari, idle 45s, notif 0
  1320 samples, 13:54, Safari, idle 629s, notif 0
  1360 samples, 18:46, Safari, idle 1229s, notif 0
  1400 samples, 00:33, Safari, idle 1831s, notif 0
  1440 samples, 02:00, Journal, idle 77s, notif 0
  1480 samples, 06:31, Journal, idle 678s, notif 0
  1520 samples, 11:07, Journal, idle 1279s, notif 0
  1560 samples, 15:31, Journal, idle 1865s, notif 0
